name,scholarid
Bart P. Knijnenburg,6z6j91UAAAAJ
Bart Piet Knijnenburg,6z6j91UAAAAJ
Bart Preneel,omio-RsAAAAJ
Bart Selman,pJ28HA0AAAAJ
Bartek Blaszczyszyn,NOSCHOLARPAGE
Bartek Klin,0-UFxOQAAAAJ
Bartlomiej Blaszczyszyn,NOSCHOLARPAGE
Barton P. Miller,dywFuRMAAAAJ
Bartosz Krawczyk,0GrFcZsAAAAJ
Baruch Awerbuch,NOSCHOLARPAGE
Baruch Schieber,58Yv3zUAAAAJ
Barzan Mozafari,HHd7uewAAAAJ
Bas Luttik,mwYLD4QAAAAJ
Bas Spitters,Pm70TvUAAAAJ
Basel A. Mahafzah,cjUfPpUAAAAJ
Basem Shihada,337BjqEAAAAJ
Basima Elshqeirat,jDBrG0oAAAAJ
Basit Shafiq,ImR86jUAAAAJ
Bassam H. Hammo,a5nuQFEAAAAJ
Bassam Hammo,a5nuQFEAAAAJ
Bassem Alhalabi,O72412cAAAAJ
Bastiaan Kleijn,zvVsKLgAAAAJ
Bastian Goldluecke,r6HOvnoAAAAJ
Bastian Goldlücke,r6HOvnoAAAAJ
Bastian Leibe,ZcULDB0AAAAJ
Beata Stahre Wästberg,NOSCHOLARPAGE
Beatriz Otero,DYV7AzEAAAAJ
Beatriz Vicoso,4Wqy1IcAAAAJ
Bechir Hamdaoui,GRjhMD8AAAAJ
Beddhu Murali,NOSCHOLARPAGE
Bedrich Benes,2VvQrz0AAAAJ
Beena Ahmed,giTayZwAAAAJ
Begüm Demir,zq4kgCAAAAAJ
Behnam Malakooti,ICngR3sAAAAJ
Behnaz Ghoraani,ssLvFH8AAAAJ
Behrooz A. Shirazi,NOSCHOLARPAGE
Behrooz Shirazi,NOSCHOLARPAGE
Bei Wang,x-P4MtQAAAAJ
Bei Yu 0001,dK-URsEAAAAJ
Beichuan Zhang,NOSCHOLARPAGE
Beijun Shen,wnq7SiQAAAAJ
Beinat Paul,NOSCHOLARPAGE
Beki Grinter,PNalJ58AAAAJ
Bela Gipp,No2ot2YAAAAJ
Belgin Ergenc,e00LSrIAAAAJ
Belgin Ergenç,e00LSrIAAAAJ
Belgin Ergenç Bostanoglu,e00LSrIAAAAJ
Belgin Ozakar,e00LSrIAAAAJ
Bella Bose,NOSCHOLARPAGE
Belén Masiá,d10sXc8AAAAJ
Ben Carterette,2Y4R04EAAAAJ
Ben Choi,NOSCHOLARPAGE
Ben Glocker,g_HtjLIAAAAJ
Ben H. H. Juurlink,i27KRcYAAAAJ
Ben Hardekopf,NOSCHOLARPAGE
Ben Kao,TwSParMAAAAJ
Ben Kenwright,n2Rwo-EAAAAJ
Ben Langmead,2JMaTKsAAAAJ
Ben Lee,Rsx5uzAAAAAJ
Ben Leong,kLMAXGgAAAAJ
Ben Li,NOSCHOLARPAGE
Ben Matthews,A-fovxUAAAAJ
Ben Recht,a_dbdxAAAAAJ
Ben Reichardt,BEGRf_EAAAAJ
Ben Shneiderman,h4i4fh8AAAAJ
Ben Stephenson,oIsadHAAAAAJ
Ben Stock,_hDa-5wAAAAJ
Ben Swift,OQdYgLEAAAAJ
Ben W. Reichardt,BEGRf_EAAAAJ
Ben Y. Zhao,cYReSuEAAAAJ
Benedikt Bollig,dhayPjwAAAAJ
Benedikt Schmidt,wvIA190AAAAJ
Beng Chin Ooi,9560QjYAAAAJ
Bengt Carlsson,WY1FerUAAAAJ
Bengt Jonsson,idIfuU4AAAAJ
Bengt L. Sandblad,NOSCHOLARPAGE
Benjamin A. Carterette,2Y4R04EAAAAJ
Benjamin Adam Raichel,6Qyzi1cAAAAJ
Benjamin Bach,dXbz4FgAAAAJ
Benjamin Belzer,NOSCHOLARPAGE
Benjamin Blankertz,BQitzAIAAAAJ
Benjamin C. Lee,4Tnj6PcAAAAJ
Benjamin C. Pierce,2kkddh0AAAAJ
Benjamin David Van Durme,wIujAJoAAAAJ
Benjamin Delaware,VS21MfgAAAAJ
Benjamin Eugenio Bustos Cárdenas,NOSCHOLARPAGE
Benjamin Fuller,7wXWIdUAAAAJ
Benjamin Goldberg,eTVTXOgAAAAJ
Benjamin I. P. Rubinstein,hMG_gR4AAAAJ
Benjamin J. Belzer,NOSCHOLARPAGE
Benjamin J. Blalock,NOSCHOLARPAGE
Benjamin J. Raphael,GhvZjJUAAAAJ
Benjamin Johnston,NOSCHOLARPAGE
Benjamin Kuipers,H1XVLwsAAAAJ
Benjamin Lok,QclQnxIAAAAJ
Benjamin M. Glocker,g_HtjLIAAAAJ
Benjamin M. Marlin,ey960FIAAAAJ
Benjamin Marlin,ey960FIAAAAJ
Benjamin Moseley,qq-SXN8AAAAJ
Benjamin Peherstorfer,C81WhlkAAAAJ
Benjamin Raichel,6Qyzi1cAAAAJ
Benjamin Recht,a_dbdxAAAAAJ
Benjamin Rossman,pWJ0SocAAAAJ
Benjamin Ruddell,W1fB5OcAAAAJ
Benjamin Stock,_hDa-5wAAAAJ
Benjamin Swift,OQdYgLEAAAAJ
Benjamin Van Durme,wIujAJoAAAAJ
Benjamin W. Fuller,7wXWIdUAAAAJ
Benjamin W. Wah,WL8igVEAAAAJ
Benjamin Wan-Sang Wah,WL8igVEAAAAJ
Benjamin Watson,yfYYAMQAAAAJ
Bennett A. Landman,tmTcH0QAAAAJ
Benny Chor,cXTKzbMAAAAJ
Benny George Kenkireth,NOSCHOLARPAGE
Benny Kimelfeld,bxSK7o8AAAAJ
Benny Pinkas,tpMNnPwAAAAJ
Benoit Baudry,oP4UxPkAAAAJ
Benoit Huet,KdPSGmAAAAAJ
Benoit M. Dawant,I_N__-QAAAAJ
Benoît Libert,kRpKU4IAAAAJ
Bent Thomsen,mhyMmZoAAAAJ
Benyuan Liu,s2n1-HMAAAAJ
Berk Burak Ustundag,JJY3eIEAAAAJ
Berk Canberk,q3ueClIAAAAJ
Berk Ustundag,JJY3eIEAAAAJ
Bernard Carré,NOSCHOLARPAGE
Bernard Chazelle,C1VwgssAAAAJ
Bernard Fortz,YaOdoooAAAAJ
Bernard Gendron,GZ8UOVsAAAAJ
Bernard Ghanem,rVsGTeEAAAAJ
Bernard L. Menezes,NOSCHOLARPAGE
Bernard Marie Chazelle,C1VwgssAAAAJ
Bernard Menezes,NOSCHOLARPAGE
Bernard Merialdo,GhCcwsoAAAAJ
Bernard Steenis,NOSCHOLARPAGE
Bernard Wong,1MgxnKcAAAAJ
Bernardo Cuenca Grau,THu1uZMAAAAJ
Bernardo David,NOSCHOLARPAGE
Bernardo Machado David,NOSCHOLARPAGE
Bernardo Toninho,LqQoVtgAAAAJ
Bernardus Juurlink,i27KRcYAAAAJ
Bernd Becker 0001,blhIc7MAAAAJ
Bernd Bickel,Bt-QKXYAAAAJ
Bernd Bruegge,io5O8OUAAAAJ
Bernd Brügge,io5O8OUAAAAJ
Bernd Dammann,NOSCHOLARPAGE
Bernd Finkbeiner,mSwHrYMAAAAJ
Bernd Fischer 0002,m51BXiwAAAAJ
Bernd Gärtner,NOSCHOLARPAGE
Bernd Hamann,aNRlTa8AAAAJ
Bernd Meyer 0001,9rl-K3IAAAAJ
Bernd Sturmfels,5zTUNsQAAAAJ
Bernd-Holger Schlingloff,NOSCHOLARPAGE
Bernhard Beckert,5BPKfQIAAAAJ
Bernhard E. Boser,NHIpV98AAAAJ
Bernhard Egger,g-ZpvTIAAAAJ
Bernhard Haeupler,hIq09eUAAAAJ
Bernhard Hengst,NOSCHOLARPAGE
Bernhard K. Aichernig,O6dEPWYAAAAJ
Bernhard Kainz,Igxq-YEAAAAJ
Bernhard Mitschang,zRbR5b8AAAAJ
Bernhard Nebel,4MhUHPcAAAAJ
Bernhard Neumair,MHlS1MEAAAAJ
Bernhard Pfahringer,PEv3OQUAAAAJ
Bernhard Preim,iz7UUN4AAAAJ
Bernhard Reus,NOSCHOLARPAGE
Bernhard Rumpe,nED1C7QAAAAJ
Bernhard Scholz,0z6_oNEAAAAJ
Bernhard Schölkopf,DZ-fHPgAAAAJ
Bernhard Thomaszewski,Qtzmow0AAAAJ
Bernt Schiele,z76PBfYAAAAJ
Berrin A. Yanikoglu,CyWTeecAAAAJ
Bert Arnrich,GGtsB6kAAAAJ
Bert C. Huang,TrqegZIAAAAJ
Bert Huang,TrqegZIAAAAJ
Berthe Y. Choueiry,NOSCHOLARPAGE
Berthier A. Ribeiro-Neto,JMkfK0sAAAAJ
Berthold K. P. Horn,NOSCHOLARPAGE
Berthold Klaus Paul Horn,NOSCHOLARPAGE
Bertil Gustafsson,NOSCHOLARPAGE
Bertram Ludäscher,nYx9xasAAAAJ
Bertrand Cambou,NOSCHOLARPAGE
Beryl Plimmer,16CrO58AAAAJ
Berç Rustem,AeKQNY0AAAAJ
Beth A. Plale,CyGvFJkAAAAJ
Beth Mynatt,NOSCHOLARPAGE
Beth Plale,CyGvFJkAAAAJ
Betsy DiSalvo,NOSCHOLARPAGE
Betsy James DiSalvo,NOSCHOLARPAGE
Bettina Berendt,NOSCHOLARPAGE
Bettina Grün,Tl-eVmoAAAAJ
Bettina Kemme,vLbmweYAAAAJ
Bettina Speckmann,NOSCHOLARPAGE
Betty H. C. Cheng,qABYFOIAAAAJ
Beverly A. Sanders,NOSCHOLARPAGE
Beverly Sanders,NOSCHOLARPAGE
Bhagirath Narahari,NOSCHOLARPAGE
Bharat Adsul,bZhCDxIAAAAJ
Bharat Jayaraman,MwIL3roAAAAJ
Bharat K. Bhargava,rhLst94AAAAJ
Bharat L. Bhuva,NOSCHOLARPAGE
Bharath Hariharan,TpglobcAAAAJ
Bhaskar DasGupta,V6ddZSkAAAAJ
Bhaskar Krishnamachari,JHJozAYAAAAJ
Bhaskaran Raman,qj3IRU8AAAAJ
Bhavana Kanukurthi,QYNU5jMAAAAJ
Bhavani M. Thuraisingham,o_xUNWkAAAAJ
Bheemarjuna Reddy Tamma,FYHCD2kAAAAJ
Bhiksha Raj,IWcGY98AAAAJ
Bhiksha Ramakrishnan,NOSCHOLARPAGE
Bhojan Anand,FDxsgEgAAAAJ
Bhubaneswar Mishra,kXVBr20AAAAJ
Bhujanga Chakrabarti,3VT_IZEAAAAJ
Bhuvan Urgaonkar,ZoI6hPwAAAAJ
Biagio Cosenza,gQCXas8AAAAJ
Bianca Schroeder,TW4Th98AAAAJ
Bianca Schröder,TW4Th98AAAAJ
Biao Chen,653GqXUAAAAJ
Biao Leng,zQqJW3gAAAAJ
Biao Qin,NOSCHOLARPAGE
Bihuan Chen 0001,Cz-4wl0AAAAJ
Biing-Feng Wang,NOSCHOLARPAGE
Bijan Parsia,UBcjZigAAAAJ
Bijaya Karki,PVKPY-IAAAAJ
Bikramjit Banerjee,WHs9gMMAAAAJ
Bilal Khan,uOBB1tEAAAAJ
Bilel Derbel,NOSCHOLARPAGE
Bilge Mutlu,VGr54BoAAAAJ
Bill Aiello,7gbCeoEAAAAJ
Bill Barrett,yLWfq68AAAAJ
Bill Campbell,ekic9BkAAAAJ
Bill Carroll,b77CHHoAAAAJ
Bill Dally,YZHj-Y4AAAAJ
Bill Fefferman,EBIByAIAAAAJ
Bill Freeman,0zZnyMEAAAAJ
Bill Gropp,vB96fX8AAAAJ
Bill Hamilton 0001,W7jbeOwAAAAJ
Bill Keller,go6vIr0AAAAJ
Bill P. Buckles,4TYgrZ8AAAAJ
Bill Rogers,RP4Z1UQAAAAJ
Bill Roscoe,miixtKcAAAAJ
Bill Scherlis,F6LzqwMAAAAJ
Bill Stackpole,z-ALk7QAAAAJ
Bill Tomlinson,NOSCHOLARPAGE
Bill Wang,u9TbFb0AAAAJ
Bimal Viswanath,bu1SCOuD_CMC
Bin Cui 0001,IJAU8KoAAAAJ
Bin Guo 0001,VC6N2iQAAAAJ
Bin Li 0015,8t97oL8AAAAJ
Bin Liang 0002,NOSCHOLARPAGE
Bin Liu 0001,NOSCHOLARPAGE
Bin Luo 0003,NOSCHOLARPAGE
Bin Ma,f-eL6DYAAAAJ
Bin Ren,XU7ZT5kAAAAJ
Bin Sheng,unORJQ8AAAAJ
Bin Sun,NOSCHOLARPAGE
Bin Wang 0004,tDajnHEAAAAJ
Bin Xiao 0001,yFLW6jgAAAAJ
Bin Xu 0001,h-BY2wgAAAAJ
Bin Yang 0002,qjBQhoUAAAAJ
Bin Yao 0002,XIIa8VMAAAAJ
Bin Yu 0001,xT19Jc0AAAAJ
Binay Bhattacharya,NOSCHOLARPAGE
Binay K. Bhattacharya,NOSCHOLARPAGE
Binbin Chen,42U2zXcAAAAJ
Bing Bing Zhou,YVvMM_MAAAAJ
Bing Li 0010,TgB8tuYAAAAJ
Bing Liu 0001,Kt1bjZoAAAAJ
Bing Mao,4HAkmwcAAAAJ
Bing Qin 0001,LKnCub0AAAAJ
Bing Wang 0001,HvNdFJcAAAAJ
Bing Xie,f66ae1YAAAAJ
Bing Xue 0001,htnpub8AAAAJ
Bing Zeng,s-kUGYQAAAAJ
Bing-Yu Chen,8UC5dY4AAAAJ
Bingfeng Zhou,JZEz0LMAAAAJ
Bingkai Lin,7jXU6JMAAAAJ
Bingpeng Ma,fClDLgMAAAAJ
Bingquan Liu,NOSCHOLARPAGE
Bingsheng He,RogYLKYAAAAJ
Bingsheng Zhang,QnOeC4IAAAAJ
Binhai Zhu,NOSCHOLARPAGE
Binyu Zang,m3noS0AAAAAJ
Bipin C. Desai,NOSCHOLARPAGE
Biplab Banerjee,0q-fdykAAAAJ
Bir Bhanu,AhRGIcwAAAAJ
Bireswar Das,RcBEsucAAAAJ
Birgit Grohe,NOSCHOLARPAGE
Birgit Lugrin,x6LNQoAAAAAJ
Birgit Penzenstadler,TNoA6ZMAAAAJ
Birgit Pröll,NOSCHOLARPAGE
Birgit Vogtenhuber,NOSCHOLARPAGE
Birgitta König-Ries,DbusQz8AAAAJ
Birhanu Eshete,DVLQDSoAAAAJ
Birna van Riemsdijk,PnxGeHMAAAAJ
Bistra Dilkina,1jjyaBYAAAAJ
Bistra N. Dilkina,1jjyaBYAAAAJ
Biswabandan Panda,ZGZkHzcAAAAJ
Biswajit Mishra,xmVV6WcAAAAJ
Biswanath Mukherjee,ytXtLjkAAAAJ
Bivas Mitra,mQ57itUAAAAJ
Bixio Rimoldi,SsEHa6cAAAAJ
Bjarne Kjær Ersbøll,NOSCHOLARPAGE
Bjoern H. Menze,Kv2QrQgAAAAJ
Bjoern Hartmann,aZMY6_UAAAAJ
Bjoern Holger Menze,Kv2QrQgAAAAJ
Bjoern Schuller,TxKNCSoAAAAJ
Björn B. Brandenburg,xRuGtp4AAAAJ
Björn Bernhard Brandenburg,xRuGtp4AAAAJ
Björn E. Ottersten,OAWYhh0AAAAJ
Björn Franke,Y6aTqRQAAAAJ
Björn H. Menze,Kv2QrQgAAAAJ
Björn Hartmann,aZMY6_UAAAAJ
Björn Hein,NOSCHOLARPAGE
Björn Hof,tytU38QAAAAJ
Björn Regnell,W37CtAwAAAAJ
Björn Scheuermann 0001,NOSCHOLARPAGE
Björn Victor,ipxE33cAAAAJ
Björn W. Schuller,TxKNCSoAAAAJ
Björn Þór Jónsson 0001,syXaq1IAAAAJ
Bjørn Sand Jensen,sa4OOmUAAAAJ
Blair D. Sullivan,oZBtvZMAAAAJ
Blair MacIntyre,UA3tyKwAAAAJ
Blair Nonnecke,73-woeEAAAAJ
Blanca Rodríguez Bravo,NOSCHOLARPAGE
Blase Ur,3Xql0fwAAAAJ
Blayne E. Mayfield,NOSCHOLARPAGE
Bo An,CvdNmi0AAAAJ
Bo Friis Nielsen,NOSCHOLARPAGE
Bo Han 0003,nTNjqHwAAAAJ
Bo Ji,VO8vrxEAAAAJ
Bo Lang,NOSCHOLARPAGE
Bo Li 0001,BMkV-YoAAAAJ
Bo Li 0005,NOSCHOLARPAGE
Bo Li 0026,K8vJkTcAAAAJ
Bo Luo,roY9L1oAAAAJ
Bo Ou,o81gbSQAAAAJ
Bo Sheng,Dt5oPoMAAAAJ
Bo Waggoner,Y_Ieu7EAAAAJ
Bo Wu 0002,E-2t4EQAAAAJ
Bo Yan 0001,NOSCHOLARPAGE
Bo Yuan,utrtn3cAAAAJ
Bo Zhang 0010,NOSCHOLARPAGE
Boaz Barak,XGiiygQAAAAJ
Boaz Ben-Moshe,EqqHg3MAAAAJ
Bob Coecke,fO17CXgAAAAJ
Bob Fields,DrLWtAYAAAAJ
Bob Fisher,LigYduEAAAAJ
Bob J. Wielinga,NOSCHOLARPAGE
Bob McKay,BphNXV8AAAAJ
Bob Sedgewick,NOSCHOLARPAGE
Bob Weems,NOSCHOLARPAGE
Bob Williamson,G4MBruQAAAAJ
Bobak J. Mortazavi,TOAg4GkAAAAJ
Bobak Jack Mortazavi,TOAg4GkAAAAJ
Bobak Mortazavi,TOAg4GkAAAAJ
Bobby Bhattacharjee,NOSCHOLARPAGE
Bobby Bodenheimer,hI4XguUAAAAJ
Bobby Schnabel,NOSCHOLARPAGE
Bodhisatwa Mazumdar,ea-e9TwAAAAJ
Bogdan Carbunar,B7BCFdoAAAAJ
Bogdan Dit,txY2NHUAAAAJ
Bogdan Korel,NOSCHOLARPAGE
Bogdan Simion,NOSCHOLARPAGE
Bogdan Vasilescu,bcXjlqYAAAAJ
Bogdan Warinschi,kS0oatgAAAAJ
Bohyung Han,9aaeCToAAAAJ
Boi Faltings,X21nbgcAAAAJ
Bojan Cukic,B7N812UAAAAJ
Boleslaw K. Szymanski,2OJOZTUAAAAJ
Bolette Sanford Pedersen,NOSCHOLARPAGE
Bolong Zeng,kp0baVYAAAAJ
Bon K. Sy,GLjNiI4AAAAJ
Bongki Moon,Uk9v1BQAAAAJ
Bongwon Suh,-nlhtEkAAAAJ
Bonita Sharif,2WeXBokAAAAJ
Bonnie A. Nardi,hwc6A1MAAAAJ
Bonnie Berger,qMOS01AAAAAJ
Bonnie L. Webber,r6JFa28AAAAJ
Bonnie Lynn Webber,r6JFa28AAAAJ
Bonnie MacKay,fqtL2yMAAAAJ
Bonnie Nash-Webber,r6JFa28AAAAJ
Boon Thau Loo,HF2G3LAAAAAJ
Boqing Gong,lv9ZeVUAAAAJ
Bor-Yuh Evan Chang,wg3lXyYAAAAJ
Bora Uçar,lIthkfMAAAAJ
Boris A. Trakhtenbrot,NOSCHOLARPAGE
Boris Aronov,q82gOawAAAAJ
Boris Düdder,0ic62YwAAAAJ
Boris Glavic,lCdBR8cAAAAJ
Boris Grot,1DXXeSMAAAAJ
Boris Konev,W0VU0J8AAAAJ
Boris Köpf,B5EwUUYAAAAJ
Boris Motik,gKlqqSEAAAAJ
Boris Neubert,t1h8g_8AAAAJ
Boris Skoric,NOSCHOLARPAGE
Boris Stilman,NOSCHOLARPAGE
Borivoje Nikolic,QEqPllIAAAAJ
Borko Furht,z1BEGM8AAAAJ
Borzoo Bonakdarpour,T_hw6kcAAAAJ
Bosheng Song,n2szdRoAAAAJ
Boualem Benatallah,WYmChp0AAAAJ
Boudewijn F. van Dongen,vSPKumwAAAAJ
Boudewijn P. F. Lelieveldt,NOSCHOLARPAGE
Boulbaba Ben Amor,8kGJcCIAAAAJ
Boxin Shi,K1LjZxcAAAAJ
Boyana Norris,prJFPwUAAAAJ
Bracha Shapira,1biUWpIAAAAJ
Brad A. Myers,E1cp_aYAAAAJ
Brad Karp,KmXVOQkAAAAJ
Brad T. Vander Zanden,NOSCHOLARPAGE
Bradford Campbell,MLx5TCQAAAAJ
Bradford Gregory John Heap,gz14Sq8AAAAJ
Bradford Heap,gz14Sq8AAAAJ
Bradley Alexander,zInPZhUAAAAJ
Bradley Hayes,rU_-c5oAAAAJ
Bradley J. Lucier,sVRNOg0AAAAJ
Bradley James Alexander,NOSCHOLARPAGE
Bradley Malin,Kf97-EkAAAAJ
Bradley Reaves,0Ugq1JgAAAAJ
Bradley T. Vander Zanden,NOSCHOLARPAGE
Brahim Bensaou,aQblKVwAAAAJ
Brahim Medjahed,fDjntaAAAAAJ
Brajendra Panda,NOSCHOLARPAGE
Bram Adams,XS9QH_UAAAAJ
Brandon Dixon,NOSCHOLARPAGE
Brandon Lucia,a9T7i5QAAAAJ
Brendan A. Juba,5wppdUoAAAAJ
Brendan D. McKay,3nV4EKwAAAAJ
Brendan Dolan-Gavitt,MzAxRscAAAAJ
Brendan J. Frey,RjQ7YnMAAAAJ
Brendan Juba,5wppdUoAAAAJ
Brendan McCane,7WMqe3AAAAAJ
Brendan Mumey,gw5eQs8AAAAJ
Brendan O'Connor,V4LXxrQAAAAJ
Brendan Saltaformaggio,1GsJvtwAAAAJ
Brendan T. O'Connor,V4LXxrQAAAAJ
Brenna Argall,nhpEPFgAAAAJ
Brenna D. Argall,nhpEPFgAAAAJ
Breno Miranda,jp9fGhsAAAAJ
Brent Adams,NOSCHOLARPAGE
Brent ByungHoon Kang,_hF51IMAAAAJ
Brent Carper,NOSCHOLARPAGE
Brent J. Hecht,6IinLVUAAAAJ
Brent R. Waters,VEKxHOAAAAAJ
Brent Stephens,REpY8JMAAAAJ
Brent Waters,VEKxHOAAAAAJ
Bret Michael,JYxa6eYAAAAJ
Brett J. Borghetti,Z6vGQasAAAAJ
Brett McKinney,3M1gxVsAAAAJ
Brian A. Barsky,NOSCHOLARPAGE
Brian A. Malloy,NOSCHOLARPAGE
Brian Anderson,NOSCHOLARPAGE
Brian Beckage,NOSCHOLARPAGE
Brian Borowski,NOSCHOLARPAGE
Brian C. Dean,QCL2MLcAAAAJ
Brian C. Keegan,zkxrDS8AAAAJ
Brian C. Lovell,gXiGxcMAAAAJ
Brian C. Nelson,R0PhbAYAAAAJ
Brian Curless,tlh8i7gAAAAJ
Brian D. Davison 0001,NOSCHOLARPAGE
Brian D. Noble,U0Ps_DwAAAAJ
Brian D. O. Anderson,NOSCHOLARPAGE
Brian D. Ziebart,_JjIgGcAAAAJ
Brian David Outram Anderson,NOSCHOLARPAGE
Brian Demsky,NOSCHOLARPAGE
Brian Dorn,9xYR_5YAAAAJ
Brian Kan-Wing Mak,Zx8p8RsAAAAJ
Brian Keegan,zkxrDS8AAAAJ
Brian Kocoloski,Qu_xQjYAAAAJ
Brian Kulis,okcbLqoAAAAJ
Brian M. Tomaszewski,hcIpln4AAAAJ
Brian Mak,Zx8p8RsAAAAJ
Brian Murphy,d9mX-Q4AAAAJ
Brian Neil Levine,oHbIF48AAAAJ
Brian Nielsen,iAgWGgwAAAAJ
Brian Noble,U0Ps_DwAAAAJ
Brian P. Bailey,eiqD0hoAAAAJ
Brian Ricks,S-C6lf0AAAAJ
Brian Scassellati,0jSdqoEAAAAJ
Brian Summa,QKJVjcIAAAAJ
Brian V. Funt,tXuVUYMAAAAJ
Brian W. Kernighan,NOSCHOLARPAGE
Brian Wyvill,e0RbIYEAAAAJ
Brian Y. Chen,NOSCHOLARPAGE
Brian Y. Lim,_bza0AoAAAAJ
Briane Paul Samson,oUJrZ_sAAAAJ
Briane Paul V. Samson,oUJrZ_sAAAAJ
Bridget T. McInnes,dWRneN0AAAAJ
Brighten Godfrey,D2K-ADYAAAAJ
Brigitte Jaumard,Bn0YLtAAAAAJ
Brigitte Pientka,SX7AzekAAAAJ
Brijesh Dongol,fjA_2-cAAAAJ
Brink van der Merwe,TKlHqnMAAAAJ
Britta Wrede,VL0ejs0AAAAJ
Brittany A. Duncan,nuaqmtQAAAAJ
Brittany A. Erickson,NOSCHOLARPAGE
Brittany Fasy,oiTuXgIAAAAJ
Brittany Terese Fasy,oiTuXgIAAAAJ
Bruce A. Draper,jTiRFi8AAAAJ
Bruce A. Reed,ki4fG10AAAAJ
Bruce Gooch,KAgv5asAAAAJ
Bruce H. Krogh,s4yZTp4AAAAJ
Bruce Hartpence,uvcXwjIAAAAJ
Bruce J. MacLennan,A14DflkAAAAJ
Bruce M. Kapron,CCXustMAAAAJ
Bruce M. Maggs,Gwrwxa0AAAAJ
Bruce M. McMillin,5XZQO_sAAAAJ
Bruce MacDowell Maggs,Gwrwxa0AAAAJ
Bruce Maxim,KN8ZOBIAAAAJ
Bruce N. Walker,xY3zIEAAAAAJ
Bruce R. Childers,NOSCHOLARPAGE
Bruce Randall Donald,NOSCHOLARPAGE
Bruce S. Gardiner,C3DocZEAAAAJ
Bruce Tidor,0YlwI5MAAAAJ
Bruce W. Char,SMGY4jUAAAAJ
Bruce W. Porter,k5c56_wAAAAJ
Bruno A. Gaëta,NOSCHOLARPAGE
Bruno A. N. Travençolo,EK0RFxgAAAAJ
Bruno Augusto Nassif Travençolo,EK0RFxgAAAAJ
Bruno Barbieri Pontes Cafeo,FRfEKzcAAAAJ
Bruno Beaufils,LgU7J9YAAAAJ
Bruno C. d. S. Oliveira,cB-6X3gAAAAJ
Bruno Carpentieri,szK8H3oAAAAJ
Bruno Crispo,exvMi3YAAAAJ
Bruno Emanuel Martins,VQMUt8kAAAAJ
Bruno F. M. Ribeiro,KIEleCsAAAAJ
Bruno F. Ribeiro,KIEleCsAAAAJ
Bruno Feijó,XnyRAcIAAAAJ
Bruno Gaëta,NOSCHOLARPAGE
Bruno M. Nogueira,Its8CZUAAAAJ
Bruno Macchiavello,MJXV64EAAAAJ
Bruno Magalhães Nogueira,Its8CZUAAAAJ
Bruno Martins 0001,VQMUt8kAAAAJ
Bruno Ribeiro 0001,KIEleCsAAAAJ
Bruno Salvy,nFkhlrAAAAAJ
Bruno Sinopoli,zZO9qG4AAAAJ
Bryan David Minor,0g7f1_YAAAAJ
Bryan Ford,TwyzQP4AAAAJ
Bryan Hooi,ErEL3bgAAAAJ
Bryan Kian Hsiang Low,2P-Q09UAAAAJ
Bryan Ng,OypvS8QAAAAJ
Bryan Pardo,vxEKYqsAAAAJ
Bryan Parno,kTTBpJkAAAAJ
Bryan S. Morse,yOyREHoAAAAJ
Bryant W. York,NOSCHOLARPAGE
Brygg Ullmer,JxG7a6sAAAAJ
Bu-Sung Lee,TyytTfQAAAAJ
Bud Mishra,kXVBr20AAAAJ
Budi Arief,bSZk250AAAAJ
Bugra Gedik,ddLcpMQAAAAJ
Bundit Laekhanukit,vmemchMAAAAJ
Burcu Can,BalzcSEAAAAJ
Burkhard C. Wünsche,pgBZIHYAAAAJ
Burkhard Claus Wünsche,pgBZIHYAAAAJ
Burkhard Freitag,NOSCHOLARPAGE
Burkhard Rost,BP3ofxcAAAAJ
Burkhard Stiller,NOSCHOLARPAGE
Burkhard Wuensche,pgBZIHYAAAAJ
Burkhard Wünsche,pgBZIHYAAAAJ
Burton Rosenberg,NOSCHOLARPAGE
Buzou Tang,5oGXsxUAAAAJ
Byoung-Tak Zhang,sYTUOu8AAAAJ
Byoungyoung Lee,AoDgrKIAAAAJ
Byrav Ramamurthy,Moj2TLMAAAAJ
Byron Boots,kXB8FBoAAAAJ
Byron C. Wallace,KTzRHmwAAAAJ
Byron Choi,S6L1eOMAAAAJ
Byron J. Williams,t4bGLWUAAAAJ
Byung Guk Kim,FkDwvF0AAAAJ
Byung Ro Moon,N_9XjY4AAAAJ
Byung Seub Lee,NOSCHOLARPAGE
Byung-Gon Chun,hwnskpoAAAAJ
Byung-Guk Kim,NOSCHOLARPAGE
Byung-Ro Moon,N_9XjY4AAAAJ
Byunghyun Jang,NOSCHOLARPAGE
Byungjoo Lee,b9we1fYAAAAJ
Béla Gipp,No2ot2YAAAAJ
C. Aiswarya,NLwqvCwAAAAJ
C. Barry Jay,Ml9nDYQAAAAJ
C. Carvalho de Souza,t_w8cAkAAAAJ
C. Chandra Sekhar,rO5ZgW4AAAAJ
C. David Page,aNh0te8AAAAJ
C. David Page Jr.,aNh0te8AAAAJ
C. Edward Chow,xLIQ4PYAAAAJ
C. Greg Plaxton,NOSCHOLARPAGE
C. Karen Liu,i28fU0MAAAAJ
C. Krishna Mohan,GvSsuVEAAAAJ
C. Lee Giles,sAkg9T8AAAAJ
C. Maria Keet,lccln9YAAAAJ
C. N. Campos,t6j8h7UAAAAJ
